metro_mirco_area,metro_division,total_estimate,total_moe,white_alone,white_alone_moe,black_alone,black_alone_moe,aindian_alone,aindian_alone_moe,asian_alone,asian_moe,pacific_islander_native_hawaiian_alone,pacific_islander_native_hawaiian_moe,some_other_alone,some_other_moe,two_or_more_alone,two_or_more_moe,latino_alone,latino_moe
14460,14454,2012345,-555555555,1297740,1889,256769,2051,2692,385,154149,1244,668,205,23369,2321,42762,2069,234196,-555555555
14460,15764,2384518,-555555555,1701157,1281,105152,1557,2651,395,217105,1817,682,173,14126,1734,51638,2000,292007,-555555555
14460,40484,435483,-555555555,400496,176,3509,336,186,101,10576,470,79,76,311,188,7934,544,12392,-555555555
16980,16984,7175030,-555555555,3551870,816,1324242,2439,6184,623,531780,2306,1610,231,13730,1245,133171,3328,1612443,-555555555
16980,20994,761796,-555555555,470936,418,45018,876,599,174,27700,666,190,39,1154,451,11627,1126,204572,-555555555
16980,23844,701782,-555555555,446815,322,119635,861,1229,233,9172,478,231,107,957,386,11831,989,111912,-555555555
16980,29404,869997,-555555555,560149,387,58097,955,1496,258,56275,843,252,104,1541,451,18018,1282,174169,-555555555
19100,19124,4903580,-555555555,2129125,726,798788,2728,13777,860,388322,1790,2476,224,8986,1082,100408,3178,1461698,-555555555
19100,23104,2417083,-555555555,1240622,868,339155,2070,7648,624,112742,1321,4642,370,4678,923,52132,2924,655464,-555555555
19820,19804,1757299,-555555555,870241,500,677346,1386,4673,559,58726,1096,426,117,4039,756,37429,1814,104419,-555555555
19820,47664,2560549,-555555555,1995029,640,276197,1967,5839,565,131512,1213,985,207,3727,680,58709,2417,88551,-555555555
31080,11244,3168044,-555555555,1285855,1000,51269,1081,6116,647,642948,2403,8928,499,6032,955,88170,2788,1078726,-555555555
31080,31084,10081570,-555555555,2641770,1343,790252,2958,20831,1021,1454769,3676,24597,752,32413,2235,228504,5193,4888434,-555555555
33100,22744,1926205,-555555555,698805,865,530990,2313,3304,445,67677,1114,942,224,10590,1301,39608,2481,574289,-555555555
33100,33124,2699428,-555555555,356026,694,426336,1443,2272,283,40851,706,605,124,7648,1020,16765,1498,1848925,-555555555
33100,48424,1465027,-555555555,799422,1120,266676,1416,1201,329,38838,739,356,157,5949,1194,24645,1513,327940,-555555555
35620,35004,2840341,-555555555,1816273,1457,258946,1808,4048,503,187841,1279,518,154,14476,2013,42381,2276,515858,-555555555
35620,35084,2164575,-555555555,1087461,1229,441614,1794,1908,427,129210,1009,245,124,20190,1581,34249,1729,449698,-555555555
35620,35154,2373832,-555555555,1514053,601,167342,1420,2230,358,300231,1251,702,148,6096,915,38005,1988,345173,-555555555
35620,35614,11915488,-555555555,4430137,1688,2179510,3810,19239,1081,1532160,3706,3847,600,84745,3158,223632,4716,3442218,-555555555
37980,15804,1243605,-555555555,816278,644,192490,1630,788,241,60310,729,299,131,3465,775,31089,1689,138886,-555555555
37980,33874,1970189,-555555555,1563864,538,127389,1777,1935,349,120803,1064,424,131,2956,581,38607,2236,114211,-555555555
37980,37964,2143629,-555555555,921594,920,763866,2218,4007,553,145537,1069,429,110,6833,1254,48033,2424,253330,-555555555
37980,48864,721707,-555555555,453526,323,151204,1055,1452,189,32507,654,205,65,1295,479,16015,1252,65503,-555555555
41860,36084,2799005,-555555555,1021039,754,267060,2080,7488,444,684243,2746,18574,527,9064,1157,128220,3021,663317,-555555555
41860,41884,1642384,-555555555,655546,673,60500,1029,2792,440,515395,2071,13026,555,6638,904,67925,2615,320562,-555555555
41860,42034,259943,-555555555,184960,534,5527,498,438,125,15110,454,249,122,2345,613,9787,736,41527,-555555555
42660,42644,2994310,-555555555,1864396,996,161371,2203,17161,963,469811,2581,20715,694,7389,1134,159731,3689,293736,-555555555
42660,45104,877013,-555555555,585478,380,57136,1688,9221,725,54504,1303,12208,631,1458,385,61681,2568,95327,-555555555
47900,23224,1294952,-555555555,642021,798,210521,1480,2170,296,164457,1213,608,188,6285,997,41035,1955,227855,-555555555
47900,47894,4901633,-555555555,2177711,1083,1324761,3106,10583,778,455051,2618,2822,259,17068,1552,164826,3997,748811,-555555555
